"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
0.000351236563487478,-0.33802448121001,0.096,0.179,1,"Selenop","Down"
0.000351716039981725,-0.367257220376951,0.22,0.333,1,"Tacc1","Down"
0.000352844311963331,-0.70290201839707,0.046,0.105,1,"Mmd2","Down"
0.000354486211753175,-0.361707507331288,0.15,0.25,1,"Wasf2","Down"
0.000357087816744752,-0.58298026442257,0.078,0.151,1,"Tmem41b","Down"
0.000361351865102301,-0.37993170911667,0.23,0.345,1,"Lrrc28","Down"
0.000364231783854724,-0.504023357427077,0.09,0.167,1,"Gucy1b1","Down"
0.000365156077992617,-0.457776470102346,0.08,0.154,1,"Hcfc2","Down"
0.000365804749736215,-0.76019716779796,0.06,0.126,1,"Eef1b2","Down"
0.000366104942301519,-0.795226913347477,0.044,0.102,1,"Usp19","Down"
