names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_4 (for_DEGs),mean_expr_Rest (for_DEGs)
Ddx31,-10.36084,-0.7796102,3.7366485251881836e-25,2.010890163665261e-24,0.05025125628140704,0.21396686086101233,0.069410086,0.11634795
Lmnb1,-10.364172,-1.849484,3.6087057646809497e-25,1.9428155459222024e-24,0.02135678391959799,0.17889838843913142,0.027848069,0.096915185
Rps14,-10.364856,-0.31904417,3.5829735684878552e-25,1.9293486930915565e-24,0.25125628140703515,0.4753726261632746,0.38718134,0.46363848
0610043K17Rik,-10.36987,-2.1817105,3.3998589860066643e-25,1.8318470213354536e-24,0.014447236180904523,0.17095407429825224,0.019462632,0.08541144
P2ry14,-10.373514,-2.8875844,3.2726237347861214e-25,1.7636462044465118e-24,0.008793969849246231,0.16463645305288643,0.012195926,0.086916946
Gpr19,-10.374682,-1.0755645,3.232870602712067e-25,1.7425723790345687e-24,0.04082914572864322,0.20235303018839373,0.05455842,0.11170155
Zfp141,-10.378068,-0.25195482,3.120262042174458e-25,1.683563073759592e-24,0.09547738693467336,0.27248997503215555,0.13035521,0.15340863
Chchd7,-10.378502,-0.5319235,3.1061183988916024e-25,1.6762683546538935e-24,0.06595477386934673,0.23378981614587274,0.08805731,0.12495015
Ube2j1,-10.38428,-0.32070202,2.923676972326078e-25,1.5784448512437555e-24,0.0935929648241206,0.26889611863509116,0.12986861,0.15973595
Chchd2,-10.385415,-0.280357,2.889092185808614e-25,1.5600865561229394e-24,0.24560301507537688,0.46920632518725885,0.38810638,0.45482445
Dlx6os1,-10.385559,-1.2656063,2.884749476878696e-25,1.5580546420850364e-24,0.12625628140703518,0.28735719149580086,0.19411926,0.41547853
Fbxl4,-10.38569,-0.25057164,2.880798418681435e-25,1.556233484317856e-24,0.10301507537688442,0.28164485132783534,0.14385402,0.16895069
Nufip1,-10.3857565,-0.7898673,2.878776783227657e-25,1.5554540954218208e-24,0.04773869346733668,0.21109177574336083,0.0638778,0.10799564
Cops7b,-10.389383,-0.4107773,2.771393016623629e-25,1.4977339170691253e-24,0.0678391959798995,0.23681622153287432,0.09608492,0.12581609
Cops8,-10.389639,-0.4943582,2.763988683133495e-25,1.4940329091892379e-24,0.07412060301507538,0.24430657486570326,0.10211349,0.14101987
