names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CLA-EPd-CTX Car3 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Gm47283,3.556783,0.7433103,0.00037542423176549375,0.010618578007935597,0.5465116279069767,0.3184413718800503,0.32970637,0.20970006
Sema4d,3.5503938,0.49314022,0.00038465527113585305,0.01086823042630954,0.6627906976744186,0.432752738373137,0.44920695,0.33853352
Nbas,3.5490878,0.4604246,0.0003865680432464621,0.010910801808857602,0.8604651162790697,0.6268270784701023,0.82524776,0.6585778
Usp35,3.547206,1.4175986,0.0003893400353967631,0.010974090146847812,0.3488372093023256,0.1329143472795834,0.17396197,0.06871184
Ttll11,3.5436766,0.61821234,0.0003945889049510241,0.011102203011553945,0.8255813953488372,0.5736757047943976,0.7665609,0.5600319
Fbxl2,3.54073,0.6458679,0.0003990218322129491,0.011215184761048057,0.6627906976744186,0.43117256239899443,0.44817916,0.30850604
Wwc1,3.5398257,0.5973726,0.0004003912350724532,0.011241914823821125,0.686046511627907,0.45401328784341893,0.52826935,0.37845117
Atxn7,3.5359013,0.5385274,0.0004063865071947643,0.011398335541047303,0.7906976744186046,0.5436882743760101,0.639005,0.47989443
Cyp4x1,3.5343275,1.1074557,0.0004088142284728452,0.011454471657002451,0.4186046511627907,0.2030885257676423,0.21624075,0.106193654
Rgma,3.5297534,0.9547397,0.00041594723872981186,0.011642189900697965,0.37209302325581395,0.14659723469204525,0.20132665,0.10891356
Zranb2,3.5286214,0.5365211,0.000417730066111026,0.011679923908848354,0.9069767441860465,0.6510325013467408,0.9090586,0.7039527
B230217O12Rik,3.5240474,1.2440578,0.0004250081716443817,0.011871070241252116,0.3953488372093023,0.18778954929071648,0.20910677,0.09366345
Basp1,3.5232506,0.53476167,0.0004262882945100814,0.011894461550868004,0.9651162790697675,0.7495061950080805,1.2520328,1.0020723
Klhl22,3.5207324,0.6733976,0.00043035675069326933,0.011995524783327953,0.6744186046511628,0.4243131621476028,0.44123203,0.29844642
Hipk3,3.5175579,0.59627503,0.00043553726343055103,0.012126105259140842,0.7093023255813954,0.45936433830131085,0.4866885,0.34690428
Arl8b,3.5173101,0.56525755,0.0004359440893312264,0.012126105259140842,0.7093023255813954,0.453510504578919,0.48974752,0.35561797
Gm37640,3.515254,4.021465,0.000439333353820021,0.01220774272713957,0.23255813953488372,0.013503321960854731,0.11392198,0.007402699
Vps33a,3.5130174,0.75205094,0.00044304862495445535,0.012297651713978229,0.5581395348837209,0.3507272400790088,0.35471305,0.22538511
Camsap1,3.512756,0.52779114,0.00044348435098045787,0.012297651713978229,0.7093023255813954,0.4801580175974143,0.50409704,0.37477025
Kcnc1,3.5093539,0.5851585,0.00044919662012811814,0.012443209466847974,0.6511627906976745,0.3966959956904292,0.44332832,0.31617582
