names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_LSX GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Prkg1,-4.693454,-1.8322357,2.6863074332946067e-06,0.0005868380547367975,0.46511627906976744,0.8098284488920657,0.9725859,1.9252474
Jakmip2,-4.6936045,-1.5813999,2.684325386252075e-06,0.0005868380547367975,0.37209302325581395,0.7124017155110793,0.4517805,0.99661565
Arhgap17,-4.695416,-3.8629634,2.6606500267691004e-06,0.0005868380547367975,0.046511627906976744,0.4579699785561115,0.029772164,0.36443624
Camk4,-4.7076406,-1.9766686,2.506004528665936e-06,0.0005611361807104476,0.27906976744186046,0.6260543245175125,0.30738458,0.88226426
Pitpnm2,-4.7107534,-3.0346515,2.4680274505965096e-06,0.0005572764503993968,0.11627906976744186,0.5061829878484632,0.068149924,0.45610914
Tafa2,-4.714036,-1.9563788,2.4285776152811774e-06,0.0005530159366322478,0.3953488372093023,0.7283416726233024,0.6777647,1.5607457
Setbp1,-4.723346,-1.6803114,2.3199556100882023e-06,0.0005327966431031623,0.4186046511627907,0.7773052180128663,0.68463725,1.4232711
Gm26871,-4.728204,-1.6085924,2.2651461484627936e-06,0.0005246937673206488,0.5581395348837209,0.798892065761258,1.0613674,1.9117078
Crim1,-4.7300997,-1.9477348,2.2440936591254517e-06,0.0005243373619191382,0.18604651162790697,0.57662616154396,0.2140392,0.6527008
Rsrc1,-4.7314677,-1.5663801,2.2290233359898904e-06,0.0005243373619191382,0.27906976744186046,0.6556826304503217,0.2994945,0.7100639
Mcu,-4.7339673,-2.0371144,2.201731772921724e-06,0.000523544537508024,0.2558139534883721,0.620300214438885,0.22270487,0.7049809
Sort1,-4.7344203,-1.6070842,2.196822844017161e-06,0.000523544537508024,0.27906976744186046,0.6742315939957112,0.32843998,0.78135186
Egfem1,-4.740561,-1.8005,2.1312746883396995e-06,0.0005159220799611507,0.4883720930232558,0.7725875625446748,0.9462958,1.870312
