names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_NP SUB Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Zfx,3.141189,0.28257176,0.0016826335659267143,0.01820876516973452,0.524390243902439,0.4132562759617121,0.36177188,0.3062642
Farsb,3.1392114,0.27278757,0.0016940316479649412,0.018309988085606584,0.6300813008130082,0.4933357413761965,0.45260784,0.38783786
Chpt1,3.1382823,0.26185408,0.0016994118616287903,0.018353374888249837,0.6585365853658537,0.5256998374571067,0.5414585,0.46953538
Pikfyve,3.1340609,0.26184562,0.0017240511812990403,0.018567236569741567,0.6788617886178862,0.5486725663716814,0.5583844,0.48471922
Zc3h7a,3.1319203,0.2631271,0.0017366698162292736,0.018688152968394305,0.6788617886178862,0.5364637890554452,0.52977735,0.45874608
Kdm5b,3.131428,0.25137386,0.0017395847952824436,0.018712027001296743,0.7723577235772358,0.6111973993137078,0.69510835,0.61160827
Prpf4b,3.129887,0.2541101,0.001748734946480046,0.018802924374517343,0.7967479674796748,0.6539281199205346,0.7825609,0.6908241
Rbm28,3.1282072,0.26190546,0.001758760903699835,0.018895603951385273,0.6341463414634146,0.4968394437420986,0.46184173,0.39847094
Akap8,3.1255267,0.36631307,0.0017748692745291035,0.019045821648002004,0.4959349593495935,0.3940400939136717,0.33075646,0.2655243
Tatdn1,3.1247523,0.44683364,0.0017795479899136509,0.01908840498562068,0.3943089430894309,0.2857142857142857,0.22153504,0.16715568
Cdkl3,3.1233783,0.5790407,0.001787877625691426,0.019162453850151022,0.3902439024390244,0.2947083258081994,0.26796335,0.18706779
