names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L6 CT CTX Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Rpn1,4.1666336,-0.3808072,3.091304576771765e-05,9.070032100661426e-05,0.3481331987891019,0.2343726800296956,0.1344913,0.17179902
Tsen34,4.16451,-0.42505178,3.120223023836451e-05,9.149884606622878e-05,0.22401614530776992,0.13051224944320713,0.063350774,0.084164836
Pcsk6,4.163559,-0.4965919,3.133249802984932e-05,9.186079891566299e-05,0.19576185671039353,0.10593912397921307,0.061343014,0.08549591
Prdm5,4.162901,-0.5232721,3.142294349225689e-05,9.210586796519501e-05,0.40867810292633705,0.2695991091314031,0.16887487,0.23460269
Nedd8,4.1545854,-0.55549806,3.258779516723753e-05,9.542655363379166e-05,0.41372351160444,0.2795842613214551,0.15721308,0.22330755
Hap1,4.1532736,-0.26919264,3.27752464441591e-05,9.59545513134185e-05,0.3632694248234107,0.24342984409799553,0.12991366,0.15459774
Slc41a1,4.14984,-0.3941059,3.327080699399064e-05,9.735234497751589e-05,0.21493440968718466,0.12264291017074981,0.057945352,0.075475655
Fyb,4.1353345,-0.49156174,3.544382963919258e-05,0.00010347410934431819,0.16649848637739656,0.08144023756495918,0.07590756,0.105151124
Pink1,4.129022,-0.4792297,3.643091693032132e-05,0.00010627496883267115,0.27749747729566093,0.1750927988121752,0.08643663,0.11854145
Gabarapl1,4.1248746,-0.44326153,3.709371678725088e-05,0.00010816149431073588,0.520686175580222,0.3578322197475872,0.22151005,0.29053667
D430019H16Rik,4.110164,-0.2708403,3.953776963762884e-05,0.00011512569030809352,0.3007063572149344,0.19417223459539718,0.0909577,0.10875316
Ier3ip1,4.1017523,-0.34526205,4.10033195554921e-05,0.00011934133410486057,0.33703329969727547,0.22639198218262807,0.12571935,0.1571621
Ptpn14,4.101564,-0.26749387,4.103675014264533e-05,0.00011942569872553666,0.2512613521695257,0.153637713437268,0.07679586,0.091742374
Vamp2,4.0981197,-0.3706791,4.165196150793351e-05,0.00012115048773740782,0.6004036326942482,0.41362286562732,0.29412088,0.36611715
Foxo1,4.097518,-0.37235746,4.1760347405874704e-05,0.00012145259603808349,0.49848637739656915,0.335003711952487,0.2469239,0.30936238
Psmc5,4.094694,-0.6390603,4.2272623506872764e-05,0.0001228892560456206,0.3168516649848638,0.20671863400148477,0.101328775,0.15364139
