names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_14 (for_DEGs),mean_expr_Rest (for_DEGs)
Sox1ot,13.802667,3.3248355,2.4559712386250847e-43,2.749664465910668e-41,0.4065934065934066,0.07732896652110625,0.4618555,0.05693162
Dzip3,13.781737,0.8795393,3.2827788256771455e-43,3.660094068296469e-41,0.8461538461538461,0.6735443959243086,1.1550468,0.78012824
Rfx7,13.747348,0.8665411,5.283066330159238e-43,5.865950094685072e-41,0.8717948717948718,0.7037845705967977,1.2699325,0.87729955
Tcerg1l,13.7421,2.568928,5.680407293592224e-43,6.281174649334283e-41,0.4633699633699634,0.16124454148471615,0.5042336,0.10481721
Gphn,13.740713,0.7073696,5.790227092135255e-43,6.376368933019439e-41,0.9871794871794872,0.8775836972343523,2.3778596,1.9445779
Ptprm,13.739971,1.7410904,5.849917588644309e-43,6.415807575790717e-41,0.6373626373626373,0.37503639010189227,1.189166,0.52078414
Tnrc6a,13.688633,0.83725166,1.187226033072859e-42,1.296779004417387e-40,0.8608058608058609,0.7013100436681222,1.2038854,0.8354385
Ptpn4,13.6727085,0.8992319,1.4779058604858623e-42,1.6077461729253084e-40,0.8846153846153846,0.7025836972343522,1.2817066,0.87360877
Vezt,13.574337,0.92454195,5.685605335242626e-42,6.038427484504718e-40,0.8168498168498168,0.6301310043668122,1.022299,0.66143423
Cntn5,13.551308,1.2770305,7.783111707996509e-42,8.233551637553788e-40,0.9560439560439561,0.7622270742358078,2.5834217,1.8003513
Ehbp1,13.53255,0.82640886,1.0047746739606392e-41,1.0587566858557793e-39,0.9395604395604396,0.7690320232896652,1.6338471,1.2015902
Gab2,13.530773,0.99889964,1.0293504486888422e-41,1.0804158811042652e-39,0.8076923076923077,0.5936317321688501,1.1291972,0.7165606
Syn2,13.48475,0.81412023,1.9231627060430065e-41,1.995188490786702e-39,0.9615384615384616,0.7985080058224163,1.948326,1.4866242
Gabrg3,13.481734,1.1955702,2.0034110531989353e-41,2.070448269209823e-39,0.8498168498168498,0.64872634643377,1.8176804,1.1792301
Dlc1,13.450639,1.1174629,3.0522260742355645e-41,3.142272590601901e-39,0.8021978021978022,0.5422489082969433,1.1647856,0.7013129
Dcx,13.418243,1.2795143,4.727894632008575e-41,4.8303623103448824e-39,0.6794871794871795,0.4787117903930131,0.8675774,0.4503988
Reps2,13.412482,0.93407327,5.109973645795421e-41,5.2009466614592035e-39,0.8626373626373627,0.6815502183406114,1.3166394,0.887595
Apc,13.408273,0.7398285,5.408408428941098e-41,5.483922056062162e-39,0.9267399267399268,0.8104439592430859,1.7393687,1.3378092
Nek1,13.399218,0.9540547,6.110374557976055e-41,6.172397156872805e-39,0.7655677655677655,0.5816593886462882,0.90862465,0.56781787
Adra1b,13.338563,3.754646,1.3809599139373435e-40,1.3743108476850525e-38,0.38461538461538464,0.06997816593886463,0.44188666,0.040340617
Ftx,13.302772,0.8725128,2.2304307450469174e-40,2.1872873766208274e-38,0.8882783882783882,0.6877001455604076,1.3093169,0.9069348
Tmem196,13.199948,2.117211,8.779559519160175e-40,8.455439579922361e-38,0.4945054945054945,0.22121542940320232,0.5599316,0.15956159
Mir124a-1hg,13.183733,0.97398955,1.088681873964646e-39,1.0410278275242006e-37,0.7765567765567766,0.5818049490538574,0.92573565,0.574208
Tmem131l,13.160103,1.3818643,1.4888349568818415e-39,1.4186168543054994e-37,0.6098901098901099,0.3936681222707424,0.62093353,0.2853717
Etl4,13.150877,1.2197615,1.6821172708703814e-39,1.5971198257345283e-37,0.9377289377289377,0.7072052401746725,2.242049,1.5286629
Zeb2,13.112746,0.935879,2.783331823232249e-39,2.62414477509651e-37,0.9945054945054945,0.8557860262008734,2.6401162,2.0545263
Col25a1,13.073502,2.484875,4.666663460952752e-39,4.353932194298626e-37,0.5970695970695971,0.4477438136826783,1.5541039,0.51071256
Htr2c,13.041752,1.9077792,7.08106378263222e-39,6.583674181291618e-37,0.5805860805860806,0.3402110625909753,1.0446471,0.39944845
Syt6,13.033365,4.076245,7.904274777003045e-39,7.323719422692131e-37,0.3626373626373626,0.04741630276564775,0.4382867,0.032088015
Sh3rf3,12.989252,1.0397053,1.407965561311597e-38,1.3000699186406397e-36,0.793040293040293,0.6130640465793304,1.1761158,0.7373785
Sdk2,12.979962,1.4439172,1.5895879727631917e-38,1.4627475626077726e-36,0.6025641025641025,0.3853711790393013,0.71961766,0.32735065
Msi2,12.969743,0.83853275,1.8163784690687878e-38,1.6600710701999433e-36,0.8168498168498168,0.6483988355167395,1.17078,0.8082476
Cep170,12.878663,0.83876574,5.935454860713201e-38,5.369887949742886e-36,0.7985347985347986,0.6579694323144105,1.0568566,0.7176674
Dock7,12.841229,0.86062765,9.633181004112138e-38,8.62811911934977e-36,0.8424908424908425,0.6509097525473071,1.1161739,0.7564481
9630014M24Rik,12.806639,1.460975,1.505153176383038e-37,1.3391876109076898e-35,0.5824175824175825,0.3294032023289665,0.6243633,0.27380368
Atp11b,12.757538,0.86969024,2.8300504795090477e-37,2.5014294863292143e-35,0.8021978021978022,0.6288937409024745,1.0381018,0.6922124
Elfn1,12.730917,2.626152,3.9813804232527325e-37,3.496068365124213e-35,0.41025641025641024,0.111863173216885,0.4119218,0.07933002
Cers5,12.661057,1.2444621,9.718135289137184e-37,8.369432539074234e-35,0.6245421245421245,0.44002911208151385,0.6504091,0.32696217
Dpp6,12.61818,0.88530755,1.676499511284157e-36,1.4300806942287396e-34,0.9908424908424909,0.8173580786026201,2.3592982,1.8226514
Mamld1,12.60525,1.3211989,1.975441255872267e-36,1.6797502071293612e-34,0.6153846153846154,0.4176128093158661,0.6577043,0.31651026
Ctnna2,12.585143,0.82356566,2.5487939399346405e-36,2.153650728491943e-34,0.9981684981684982,0.8833697234352256,2.9947214,2.4616625
Cadps,12.563904,0.88295186,3.3346411586315265e-36,2.8088341044648624e-34,0.9853479853479854,0.8248908296943231,2.5370266,1.989631
Gm14204,12.448951,3.465609,1.4169504636137854e-35,1.182405557680199e-33,0.3553113553113553,0.05458515283842795,0.28129452,0.028981019
Snrpn,12.432741,0.78208387,1.735786433393087e-35,1.4350948143160692e-33,0.8681318681318682,0.6970524017467249,1.2579727,0.90196615
Arl4c,12.363194,2.6626275,4.133955148849053e-35,3.396922778274436e-33,0.38461538461538464,0.0910844250363901,0.32915622,0.0597405
Ap1s2,12.359949,2.054391,4.304279701062524e-35,3.52609742583994e-33,0.45054945054945056,0.17736535662299854,0.44395986,0.1262341
Cxcl14,12.35746,3.1753726,4.439641571448436e-35,3.625932189204239e-33,0.358974358974359,0.05658660844250364,0.38276187,0.050330855
Gm4221,12.312598,1.9877604,7.748752053723344e-35,6.290301138475718e-33,0.4542124542124542,0.1821688500727802,0.42754474,0.12619938
Ablim3,12.284693,1.5336369,1.0946068292060675e-34,8.859061897821396e-33,0.5384615384615384,0.2945778748180495,0.5125393,0.20803636
Slc8a3,12.278429,1.2059746,1.1827273213242402e-34,9.54350844564034e-33,0.6336996336996337,0.4170305676855895,0.6975291,0.3627548
Lima1,12.227306,1.8928244,2.221838756984749e-34,1.787449323358689e-32,0.4652014652014652,0.19344978165938864,0.45897382,0.14569347
Slc24a3,12.151734,0.9053173,5.616130202826483e-34,4.464657353548746e-32,0.9230769230769231,0.7246724890829694,1.6601524,1.1861798
Tmtc2,12.111916,1.3780034,9.133557860809438e-34,7.218197050586753e-32,0.684981684981685,0.5145924308588065,1.1599054,0.6111026
